class,comparison,spearman_rho,p_value
Global,baseline_vs_conservative,0.9978115767589453,4.508371966976003e-44
Global,baseline_vs_moderate,0.9905897800634641,1.0743092118405408e-32
Global,baseline_vs_aggressive,0.987744829850093,1.2192230983001966e-30
R2L,baseline_vs_conservative,0.9914651493598862,1.8660954690073095e-33
R2L,baseline_vs_moderate,0.9728635518109202,1.7692046117023892e-24
R2L,baseline_vs_aggressive,0.9542619542619543,1.8309539941360476e-20
U2R,baseline_vs_conservative,0.9330342488237224,1.4684288838071507e-17
U2R,baseline_vs_moderate,0.896049896049896,2.949995853019081e-14
U2R,baseline_vs_aggressive,0.8719772403982929,1.0216757226156956e-12
