feature,baseline_rank,baseline_importance,conservative_rank,conservative_importance,moderate_rank,moderate_importance,aggressive_rank,aggressive_importance,conservative_rank_change,conservative_importance_change,moderate_rank_change,moderate_importance_change,aggressive_rank_change,aggressive_importance_change
root_shell,25,0.061034925282001495,24,0.0680566355586052,24,0.06442274153232574,25,0.05790261551737785,1,0.007021710276603699,1,0.0033878162503242493,0,-0.003132309764623642
su_attempted,37,0.0005078159156255424,37,0.00042965952889062464,37,0.0004714505048468709,37,0.0004838350578211248,0,-7.815638673491776e-05,0,-3.63654107786715e-05,0,-2.398085780441761e-05
num_failed_logins,28,0.03857498615980148,28,0.03753543272614479,30,0.027281995862722397,32,0.027173776179552078,0,-0.0010395534336566925,-2,-0.011292990297079086,-4,-0.011401209980249405
num_shells,35,0.006399939768016338,35,0.006997567135840654,35,0.007944205775856972,35,0.009222819469869137,0,0.000597627367824316,0,0.0015442660078406334,0,0.0028228797018527985
num_access_files,31,0.018540486693382263,31,0.022108597680926323,32,0.025927001610398293,31,0.028705250471830368,0,0.0035681109875440598,-1,0.007386514917016029,0,0.010164763778448105
logged_in,11,0.19499757885932922,10,0.22781474888324738,8,0.3330790102481842,9,0.3421412706375122,1,0.03281717002391815,3,0.13808143138885498,2,0.14714369177818298
num_compromised,27,0.05252670869231224,26,0.05277474969625473,26,0.03972814977169037,30,0.03376130759716034,1,0.0002480410039424896,1,-0.012798558920621872,-3,-0.0187654010951519
num_root,34,0.008271723985671997,34,0.008136440999805927,34,0.012705625034868717,34,0.011732352897524834,0,-0.0001352829858660698,0,0.00443390104919672,0,0.0034606289118528366
num_file_creations,17,0.1464499980211258,16,0.15261760354042053,17,0.1461304873228073,17,0.15099404752254486,1,0.006167605519294739,0,-0.00031951069831848145,0,0.004544049501419067
